nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Training Pipeline
============================================================
  Device:     cuda
  Epochs:     5000
  Batch size: 64
  LR:         0.0002
  T:          1000
============================================================

[Phase 1] Loading data...
[Dataset] Loaded 14734 rows from /home/u00134/data/train_sp500_us10y.csv
[Scaler] Fitted on 14734 samples
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
[Dataset] 2922 windows (seq_len=128, stride=5, total_rows=14734)
  Samples:      2922
  Batches/epoch: 45

[Phase 2] Building model...
  U-Net parameters: 42,121,730
[Utils] Run directory: /home/u00134/src/logs/deep_v4_epochs5000_1000T_42s_2560
[Utils] Config snapshot saved to /home/u00134/src/logs/deep_v4_epochs5000_1000T_42s_2560/config.json
[Scaler] Parameters saved to /home/u00134/src/logs/deep_v4_epochs5000_1000T_42s_2560/scaler.pt

[Phase 3] Training starts (epoch 0 → 4999)...
------------------------------------------------------------
  Epoch  500/5000  |  Loss: 0.081424  |  LR: 1.95e-04  |  Time: 2.04s
  Epoch  510/5000  |  Loss: 0.081010  |  LR: 1.95e-04  |  Time: 2.15s
  Epoch  520/5000  |  Loss: 0.075680  |  LR: 1.95e-04  |  Time: 2.16s
  Epoch  530/5000  |  Loss: 0.082396  |  LR: 1.95e-04  |  Time: 2.51s
  Epoch  540/5000  |  Loss: 0.075789  |  LR: 1.94e-04  |  Time: 2.17s
  Epoch  550/5000  |  Loss: 0.079003  |  LR: 1.94e-04  |  Time: 2.16s
  Epoch  560/5000  |  Loss: 0.077724  |  LR: 1.94e-04  |  Time: 2.12s
  Epoch  570/5000  |  Loss: 0.075223  |  LR: 1.94e-04  |  Time: 2.19s
  Epoch  580/5000  |  Loss: 0.074916  |  LR: 1.93e-04  |  Time: 2.16s
  Epoch  590/5000  |  Loss: 0.076028  |  LR: 1.93e-04  |  Time: 2.40s
[Utils] Checkpoint saved: /home/u00134/src/logs/deep_v4_epochs5000_1000T_42s_2560/checkpoint_epoch_0599.pt
  Epoch  600/5000  |  Loss: 0.072150  |  LR: 1.93e-04  |  Time: 1.97s
  Epoch  610/5000  |  Loss: 0.072549  |  LR: 1.93e-04  |  Time: 2.13s
  Epoch  620/5000  |  Loss: 0.077060  |  LR: 1.93e-04  |  Time: 2.18s
  Epoch  630/5000  |  Loss: 0.073472  |  LR: 1.92e-04  |  Time: 2.12s
  Epoch  640/5000  |  Loss: 0.073284  |  LR: 1.92e-04  |  Time: 2.13s
  Epoch  650/5000  |  Loss: 0.069841  |  LR: 1.92e-04  |  Time: 2.17s
  Epoch  660/5000  |  Loss: 0.071049  |  LR: 1.92e-04  |  Time: 2.49s
  Epoch  670/5000  |  Loss: 0.071719  |  LR: 1.91e-04  |  Time: 2.21s
  Epoch  680/5000  |  Loss: 0.072958  |  LR: 1.91e-04  |  Time: 2.15s
  Epoch  690/5000  |  Loss: 0.068160  |  LR: 1.91e-04  |  Time: 2.45s
[Utils] Checkpoint saved: /home/u00134/src/logs/deep_v4_epochs5000_1000T_42s_2560/checkpoint_epoch_0699.pt
  Epoch  700/5000  |  Loss: 0.068581  |  LR: 1.91e-04  |  Time: 2.04s
  Epoch  710/5000  |  Loss: 0.066151  |  LR: 1.90e-04  |  Time: 2.18s
  Epoch  720/5000  |  Loss: 0.066974  |  LR: 1.90e-04  |  Time: 2.17s
  Epoch  730/5000  |  Loss: 0.068392  |  LR: 1.90e-04  |  Time: 2.27s
