nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Generation Pipeline
============================================================
  Device:       cuda
  Checkpoint:   logs/deep_v6/checkpoint_final.pt
  Scaler:       logs/deep_v6/scaler.pt
  Num samples:  5120
  Batch size:   64
  Use EMA:      True
  Output:       output/deep_v6.csv
============================================================

[Step 1] Loading scaler...
[Scaler] Parameters loaded from logs/deep_v6/scaler.pt
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
  Found run configuration: /home/u00134/src/logs/deep_v6/config.json
  Loaded model config: channel_dims=[256, 512, 1024], time_emb_dim=512, T=3000

[Step 2] Loading model...
  Loaded EMA weights
  Trained epoch: 6999
  U-Net parameters: 42,121,730

[Step 3] Generating 5120 paths...

  --- Batch 1 (64 samples) ---
  [Scheduler] Reverse step 2150/3000  x range: [-4.669, 4.804]
  [Scheduler] Reverse step 2100/3000  x range: [-4.868, 4.561]
  [Scheduler] Reverse step 2050/3000  x range: [-4.304, 4.334]
  [Scheduler] Reverse step 2000/3000  x range: [-4.872, 4.882]
  [Scheduler] Reverse step 1950/3000  x range: [-4.291, 4.493]
  [Scheduler] Reverse step 1900/3000  x range: [-4.421, 4.336]
  [Scheduler] Reverse step 1850/3000  x range: [-4.431, 4.896]
  [Scheduler] Reverse step 1800/3000  x range: [-4.353, 4.365]
  [Scheduler] Reverse step 1750/3000  x range: [-4.678, 4.286]
  [Scheduler] Reverse step 1700/3000  x range: [-4.359, 4.236]
  [Scheduler] Reverse step 1650/3000  x range: [-4.440, 4.328]
  [Scheduler] Reverse step 1600/3000  x range: [-4.440, 4.591]
  [Scheduler] Reverse step 1550/3000  x range: [-4.443, 4.492]
  [Scheduler] Reverse step 1500/3000  x range: [-4.243, 4.573]
  [Scheduler] Reverse step 1450/3000  x range: [-4.741, 4.750]
  [Scheduler] Reverse step 1400/3000  x range: [-4.542, 4.172]
  [Scheduler] Reverse step 1350/3000  x range: [-4.583, 4.366]
  [Scheduler] Reverse step 1300/3000  x range: [-4.684, 4.560]
  [Scheduler] Reverse step 1250/3000  x range: [-4.430, 4.662]
  [Scheduler] Reverse step 1200/3000  x range: [-4.806, 4.750]
  [Scheduler] Reverse step 1150/3000  x range: [-4.394, 5.016]
  [Scheduler] Reverse step 1100/3000  x range: [-4.691, 4.498]
  [Scheduler] Reverse step 1050/3000  x range: [-4.482, 4.306]
  [Scheduler] Reverse step 1000/3000  x range: [-4.443, 4.582]
  [Scheduler] Reverse step 950/3000  x range: [-4.326, 5.368]
  [Scheduler] Reverse step 900/3000  x range: [-4.491, 4.420]
  [Scheduler] Reverse step 850/3000  x range: [-4.468, 4.367]
  [Scheduler] Reverse step 800/3000  x range: [-4.726, 4.406]
  [Scheduler] Reverse step 750/3000  x range: [-4.470, 4.503]
  [Scheduler] Reverse step 700/3000  x range: [-4.866, 4.405]
  [Scheduler] Reverse step 650/3000  x range: [-4.633, 4.484]
  [Scheduler] Reverse step 600/3000  x range: [-4.708, 4.511]
  [Scheduler] Reverse step 550/3000  x range: [-5.394, 4.878]
  [Scheduler] Reverse step 500/3000  x range: [-5.712, 5.388]
  [Scheduler] Reverse step 450/3000  x range: [-5.527, 5.125]
  [Scheduler] Reverse step 400/3000  x range: [-5.379, 5.310]
  [Scheduler] Reverse step 350/3000  x range: [-5.443, 5.608]
  [Scheduler] Reverse step 300/3000  x range: [-5.570, 5.487]
  [Scheduler] Reverse step 250/3000  x range: [-5.882, 5.603]
  [Scheduler] Reverse step 200/3000  x range: [-5.426, 5.831]
  [Scheduler] Reverse step 150/3000  x range: [-5.312, 5.602]
  [Scheduler] Reverse step 100/3000  x range: [-5.166, 5.579]
  [Scheduler] Reverse step  50/3000  x range: [-5.196, 5.372]
  [Scheduler] Reverse step   0/3000  x range: [-5.091, 5.025]
  Generated: 128/5120

  --- Batch 3 (64 samples) ---
  [Scheduler] Reverse step 2999/3000  x range: [-4.622, 4.796]
  [Scheduler] Reverse step 2950/3000  x range: [-4.419, 4.375]
  [Scheduler] Reverse step 2900/3000  x range: [-5.078, 4.470]
  [Scheduler] Reverse step 2850/3000  x range: [-4.573, 4.663]
  [Scheduler] Reverse step 2800/3000  x range: [-4.743, 4.634]
  [Scheduler] Reverse step 2750/3000  x range: [-4.476, 4.659]
  [Scheduler] Reverse step 2700/3000  x range: [-4.519, 4.289]
  [Scheduler] Reverse step 2650/3000  x range: [-4.769, 4.185]
  [Scheduler] Reverse step 2600/3000  x range: [-4.832, 4.166]
  [Scheduler] Reverse step 2550/3000  x range: [-4.492, 4.438]
  [Scheduler] Reverse step 2500/3000  x range: [-4.325, 4.789]
  [Scheduler] Reverse step 2450/3000  x range: [-4.670, 4.253]
  [Scheduler] Reverse step 2400/3000  x range: [-5.203, 4.509]
  [Scheduler] Reverse step 2350/3000  x range: [-4.699, 4.869]
