nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Training Pipeline
============================================================
  Backbone:   dit-b
  Device:     cuda
  Epochs:     20000
  Batch size: 64
  LR:         0.0002
  Warmup:     200 epochs
  T:          1000
============================================================

[Phase 1] Loading data...
[Dataset] Loaded 14734 rows from /home/u00134/data/train_sp500_us10y.csv
[Scaler] Fitted on 14734 samples
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
[Dataset] 2538 windows (seq_len=2048, stride=5, total_rows=14734)
  Samples:      2538
  Batches/epoch: 39

[Phase 2] Building model...
  DIT-B parameters: 57,932,320
[Utils] Run directory: /home/u00134/src/logs/deep_v9_dit_b_20k
[Utils] Config snapshot saved to /home/u00134/src/logs/deep_v9_dit_b_20k/config.json
[Scaler] Parameters saved to /home/u00134/src/logs/deep_v9_dit_b_20k/scaler.pt

[Resume] Loading checkpoint from logs/deep_v9_dit_b/checkpoint_final.pt
[Utils] Checkpoint loaded from logs/deep_v9_dit_b/checkpoint_final.pt (epoch 7999)
  Resuming from epoch 8000

[Phase 3] Training starts (epoch 8000 → 19999)...
------------------------------------------------------------
  Epoch 8530/20000  |  Loss: 0.001571  |  LR: 1.00e-06  |  Time: 6.97s
  Epoch 8540/20000  |  Loss: 0.001518  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8550/20000  |  Loss: 0.001506  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8560/20000  |  Loss: 0.001625  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8570/20000  |  Loss: 0.001589  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8580/20000  |  Loss: 0.001546  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8590/20000  |  Loss: 0.001717  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8600/20000  |  Loss: 0.001520  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8610/20000  |  Loss: 0.001500  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8620/20000  |  Loss: 0.001610  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8630/20000  |  Loss: 0.001731  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8640/20000  |  Loss: 0.001673  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8650/20000  |  Loss: 0.001582  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8660/20000  |  Loss: 0.001673  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8670/20000  |  Loss: 0.001507  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 8680/20000  |  Loss: 0.001616  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 8690/20000  |  Loss: 0.001574  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8700/20000  |  Loss: 0.001532  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8710/20000  |  Loss: 0.001576  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8720/20000  |  Loss: 0.001534  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8730/20000  |  Loss: 0.001640  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8740/20000  |  Loss: 0.001472  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8750/20000  |  Loss: 0.001651  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 8760/20000  |  Loss: 0.001593  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 8770/20000  |  Loss: 0.001679  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8780/20000  |  Loss: 0.001575  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8790/20000  |  Loss: 0.001538  |  LR: 1.00e-06  |  Time: 6.97s
  Epoch 8800/20000  |  Loss: 0.001532  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8810/20000  |  Loss: 0.001554  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8820/20000  |  Loss: 0.001420  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8830/20000  |  Loss: 0.001719  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8840/20000  |  Loss: 0.001599  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8850/20000  |  Loss: 0.001628  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8860/20000  |  Loss: 0.001674  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8870/20000  |  Loss: 0.001647  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8880/20000  |  Loss: 0.001580  |  LR: 1.00e-06  |  Time: 6.97s
  Epoch 8890/20000  |  Loss: 0.001597  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8900/20000  |  Loss: 0.001546  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8910/20000  |  Loss: 0.001470  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8920/20000  |  Loss: 0.001496  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 8930/20000  |  Loss: 0.001533  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8940/20000  |  Loss: 0.001593  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8950/20000  |  Loss: 0.001403  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8960/20000  |  Loss: 0.001509  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 8970/20000  |  Loss: 0.001461  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8980/20000  |  Loss: 0.001625  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 8990/20000  |  Loss: 0.001527  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9000/20000  |  Loss: 0.001648  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9010/20000  |  Loss: 0.001590  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9020/20000  |  Loss: 0.001526  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9030/20000  |  Loss: 0.001581  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9040/20000  |  Loss: 0.001565  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9050/20000  |  Loss: 0.001622  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9060/20000  |  Loss: 0.001608  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9070/20000  |  Loss: 0.001531  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9080/20000  |  Loss: 0.001642  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9090/20000  |  Loss: 0.001566  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9100/20000  |  Loss: 0.001635  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9110/20000  |  Loss: 0.001657  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9120/20000  |  Loss: 0.001572  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9130/20000  |  Loss: 0.001693  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9140/20000  |  Loss: 0.001667  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9150/20000  |  Loss: 0.001499  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9160/20000  |  Loss: 0.001815  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9170/20000  |  Loss: 0.001561  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9180/20000  |  Loss: 0.001548  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9190/20000  |  Loss: 0.001667  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9200/20000  |  Loss: 0.001563  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9210/20000  |  Loss: 0.001509  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9220/20000  |  Loss: 0.001502  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9230/20000  |  Loss: 0.001736  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9240/20000  |  Loss: 0.001552  |  LR: 1.00e-06  |  Time: 6.99s
