nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Training Pipeline
============================================================
  Backbone:   dit-b
  Device:     cuda
  Epochs:     8000
  Batch size: 64
  LR:         0.0002
  Warmup:     200 epochs
  T:          1000
============================================================

[Phase 1] Loading data...
[Dataset] Loaded 14734 rows from /home/u00134/data/train_sp500_us10y.csv
[Scaler] Fitted on 14734 samples
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
[Dataset] 2538 windows (seq_len=2048, stride=5, total_rows=14734)
  Samples:      2538
  Batches/epoch: 39

[Phase 2] Building model...
  DIT-B parameters: 57,932,320
[Utils] Run directory: /home/u00134/src/logs/deep_v9_dit_b
[Utils] Config snapshot saved to /home/u00134/src/logs/deep_v9_dit_b/config.json
[Scaler] Parameters saved to /home/u00134/src/logs/deep_v9_dit_b/scaler.pt

[Phase 3] Training starts (epoch 0 → 7999)...
------------------------------------------------------------
  Epoch  570/8000  |  Loss: 0.049656  |  LR: 1.99e-04  |  Time: 6.92s
  Epoch  580/8000  |  Loss: 0.050451  |  LR: 1.99e-04  |  Time: 6.90s
  Epoch  590/8000  |  Loss: 0.051307  |  LR: 1.99e-04  |  Time: 6.89s
  Epoch  600/8000  |  Loss: 0.051491  |  LR: 1.99e-04  |  Time: 6.91s
  Epoch  610/8000  |  Loss: 0.044290  |  LR: 1.99e-04  |  Time: 6.90s
  Epoch  620/8000  |  Loss: 0.043385  |  LR: 1.99e-04  |  Time: 6.90s
  Epoch  630/8000  |  Loss: 0.044036  |  LR: 1.99e-04  |  Time: 6.89s
  Epoch  640/8000  |  Loss: 0.039405  |  LR: 1.98e-04  |  Time: 6.90s
  Epoch  650/8000  |  Loss: 0.043942  |  LR: 1.98e-04  |  Time: 6.89s
  Epoch  660/8000  |  Loss: 0.040128  |  LR: 1.98e-04  |  Time: 6.91s
  Epoch  670/8000  |  Loss: 0.040584  |  LR: 1.98e-04  |  Time: 6.91s
  Epoch  680/8000  |  Loss: 0.041093  |  LR: 1.98e-04  |  Time: 6.90s
